genre,n_movies,avg_worldwide,median_worldwide,avg_opening,median_opening,avg_us_canada,avg_international
Action Epic,146,363021580.5241379,172989651.0,38206279.368421055,15371270.0,144123767.97810218,241225745.58088234
Dinosaur Adventure,24,349209599.6666667,94615836.5,52958207.05555555,33746729.5,151117717.0,247978921.52380952
Superhero,98,310384158.37113404,142400065.0,49690855.0,32828348.0,132066342.07446809,189980956.3655914
Computer Animation,144,283897960.4583333,149049720.5,31121070.131782945,20612100.0,111207023.11764705,187646516.55882353
Globetrotting Adventure,32,267991530.43333334,91352776.5,27557875.36,15580278.0,89004033.20689656,202264353.14814815
Kaiju,15,266792561.42857143,255028080.5,34437450.0,30002735.0,75922141.33333333,185525981.42857143
Sci-Fi Epic,15,258385688.4,263920180.0,36360759.2,18372372.0,119761678.46666667,138624009.93333334
Car Action,30,241934859.26666668,108011252.0,28387251.592592593,16540720.0,84668400.10344827,164535715.6551724
Space Sci-Fi,44,238203926.79069766,35841901.0,38785587.972222224,11294308.0,104387956.38461539,161016857.92105263
Adventure Epic,78,235184743.14285713,74439376.0,25322189.04411765,8404160.5,95132915.43835616,154092562.81944445
Sword & Sorcery,17,225830348.375,8919406.0,27283613.57142857,3202893.0,71995331.8,171413289.42857143
Disaster,52,224754105.48,129669667.5,20312843.6875,13563881.5,83767432.92,145683615.6875
Supernatural Fantasy,26,211140024.26923078,104538509.0,27729511.47826087,16840385.0,97543593.08333333,131111280.66666667
High-Concept Comedy,48,189697769.33333334,121147448.5,20774582.34090909,13390114.5,99545206.0,98388912.67391305
Animal Adventure,211,188690773.94230768,110468183.5,18362580.75,11521237.0,78997417.7745098,114947029.48258707
Dark Fantasy,96,164857840.05208334,51110713.0,22621071.844444446,8718398.5,67289467.98888889,108159621.14444445
Fairy Tale,39,153812904.2631579,91751910.5,18831590.666666668,6100000.0,84111221.74285714,84153136.70588236
Quest,26,152472996.28,41048630.0,21615086.227272727,6849565.0,63136550.56,93158365.95833333
Cyberpunk,31,151514925.12903225,53429250.0,17309495.620689657,9612247.0,54834887.448275864,107097517.48275863
Sea Adventure,14,139797552.6153846,16647800.0,18633904.375,10186581.5,53161556.0,107334201.81818181
Dystopian Sci-Fi,62,136955634.21311477,16478265.0,26845401.333333332,6300147.0,67067660.461538464,95392436.03921568
Alien Invasion,98,132333088.89690721,46092117.0,20065287.180722892,11071584.0,65792336.78823529,85888593.65476191
Desert Adventure,36,121109973.35294117,33053250.0,13680657.827586208,4018452.0,47281833.885714285,73929108.15151516
Artificial Intelligence,46,120784552.79545455,37051865.0,16324649.675,6241630.5,50175471.071428575,80281315.65
Body Swap Comedy,27,115409502.85185185,36403064.0,11304649.115384616,6026881.5,63326237.666666664,52083265.18518519
Buddy Cop,60,111356678.2,68876715.5,17177783.783333335,11616551.0,65792016.96666667,45564661.233333334
Feel-Good Romance,111,106182304.03603603,83697473.0,10276380.579439253,9275000.0,56934764.06542056,53043961.14018691
Epic,84,101169438.85185185,20929648.0,7837615.15625,437885.5,48913181.46052632,61406451.26027397
Spy,63,93824042.38709678,39232956.0,17853812.210526317,9620619.0,47595945.52727272,59230867.7962963
Monster Horror,39,90935973.94736843,46897964.0,14497892.129032258,8911330.0,43010592.205882356,60146397.18181818
Whodunnit,22,84716576.18181819,15847912.5,12312735.9375,5079643.5,42251218.94444445,61289158.222222224
Holiday Comedy,34,83069850.11764705,51087274.0,15640170.966666667,12982454.5,62475264.13333333,31318402.066666666
Cyber Thriller,25,79137306.44,29907685.0,9090717.0,6130827.0,32992975.5,49439087.25
Conspiracy Thriller,94,78834146.22340426,40311245.5,10302825.120481927,8117465.0,38935297.85057471,46171843.67816092
War Epic,14,78688654.92307693,62112895.0,7322255.909090909,7209345.0,23912864.230769232,62942089.833333336
Buddy Comedy,210,78327480.56218906,28818995.0,12413245.960227273,6497062.0,45868756.57591623,38193202.3021978
Gun Fu,28,77225564.42307693,24521283.0,13253904.681818182,8235961.5,38327140.00304347,53252107.333333336
Boxing,43,76735999.425,19127382.5,7886563.888888889,1854969.5,36597615.97619048,39343443.743589744
Time Travel,19,75791106.94736843,43935763.0,8813238.157894736,8310252.0,31828617.684210528,43962489.2631579
One-Person Army Action,82,74126438.48148148,29342463.0,11493303.830769232,6820100.0,36979012.0,45302502.26086956
Jungle Adventure,48,71168061.475,6552281.5,13506712.8,5005788.0,27542761.42857143,50354641.35294118
