id,title,genre,release_date,budget,opening_weekend,worldwide,us_canada,roi,opening_ratio,budget_tier
tt6136430,Ferrante Fever,Documentary,3/8/2019,150000.0,3509.0,14518.0,11137.0,-90.32133333333333,0.2416999586719934,Low (<$10M)
tt0094663,Another Woman,Drama,11/18/1988,10000000.0,75196.0,1562749.0,1562749.0,-84.37251,0.04811777195186175,Mid ($10M–$100M)
tt0110148,Interview with the Vampire,Dark Fantasy,11/11/1994,60000000.0,36389705.0,223664608.0,105264608.0,272.77434666666664,0.1626976450382351,Mid ($10M–$100M)
tt0814656,Poison Friends,Drama,9/27/2006,900000.0,2980.0,316184.0,13665.0,-64.86844444444444,0.009424891835133972,Low (<$10M)
tt0385267,In Good Company,Romantic Comedy,1/14/2005,26000000.0,151750.0,61315215.0,45806659.0,135.82775,0.0024749158915939543,Mid ($10M–$100M)
tt0101356,Another You,Comedy,7/26/1991,17000000.0,1537965.0,2865916.0,2865916.0,-83.1416705882353,0.5366399433898272,Mid ($10M–$100M)
tt0314498,The Perfect Score,Teen Comedy,1/30/2004,40000000.0,4873819.0,10898337.0,10391003.0,-72.7541575,0.4472075877264577,Mid ($10M–$100M)
tt0094321,Who's That Girl,Comedy,8/7/1987,17000000.0,2548205.0,7305209.0,7305209.0,-57.02818235294118,0.3488202733145623,Mid ($10M–$100M)
tt2876428,"Good Day, Ramon",Drama,8/21/2014,4000000.0,51105.0,5104868.0,154356.0,27.6217,0.010011032606523812,Low (<$10M)
tt13223398,Beast,Survival,8/19/2022,36000000.0,11575855.0,59095809.0,31846530.0,64.155025,0.19588284170879192,Mid ($10M–$100M)
tt0116442,Grace of My Heart,Comedy,9/13/1996,5000000.0,173654.0,660313.0,660313.0,-86.79374,0.26298740142932214,Low (<$10M)
tt0120647,Deep Impact,Disaster,5/8/1998,75000000.0,41152375.0,349464664.0,140464664.0,365.9528853333333,0.11775832935143336,Mid ($10M–$100M)
tt0055031,Judgment at Nuremberg,Legal Drama,12/18/1961,3000000.0,,12180.0,,-99.59400000000001,,Low (<$10M)
tt0094813,Bulletproof,Action,8/28/1987,5000000.0,421302.0,807947.0,807947.0,-83.84106,0.5214475701995304,Low (<$10M)
tt0409459,Watchmen,Dystopian Sci-Fi,3/6/2009,130000000.0,55214334.0,185382813.0,107509799.0,42.60216384615384,0.29783955214877444,High (>$100M)
