id,title,rating_num,votes_num,stars_list,directors_list,writers_list,star_fame,director_fame,writer_fame,combined_fame,star_profile_tier,director_profile_tier,writer_profile_tier,n_stars,n_directors,n_writers
tt0080125,West Indies,7.1,301.0,"['Cyril Aventurin', 'Fernand Berset', 'Roland Bertin', 'Gérald Bloncourt', 'Toto Bissainthe', 'Philippe Clévenot', 'Monique Couturier', 'Jean-Paul Denizon', 'Gabriel Glissant', 'Elsie Haas']",['Med Hondo'],"['Daniel Boukman', 'Med Hondo']",18.0,2.0,2.0,7.333333333333333,Low-profile,Low-profile,Low-profile,10,1,2
tt0249500,Estafa de amor,6.7,14.0,"['Elsa Aguirre', 'Ramón Gay', 'Carmen Montejo', 'Eduardo Noriega', 'José Baviera', 'Miguel Ángel Ferriz', 'Beatriz Saavedra', 'Elsa Cárdenas', 'Víctor Alcocer', 'Enedina Díaz de León']",['Miguel M. Delgado'],"['Caridad Bravo Adams', 'Miguel M. Delgado', 'Ramón Pérez Peláez']",47.0,55.0,26.0,42.666666666666664,Low-profile,High-profile,High-profile,10,1,3
tt0054151,Brother,6.9,498.0,"['Keiko Kishi', 'Hiroshi Kawaguchi', 'Kinuyo Tanaka', 'Masayuki Mori', 'Takaya Hijikata', 'Hikaru Tomoda', 'Kyôko Kishida', 'Noboru Nakaya', 'Kyôko Enami', 'Noriko Hodaka']",['Kon Ichikawa'],"['Aya Kôda', 'Yôko Mizuki']",49.0,22.0,13.0,28.0,Low-profile,Low-profile,Low-profile,10,1,2
tt6136430,Ferrante Fever,6.3,196.0,"['Roberto Faenza', 'Jonathan Franzen', 'Ann Goldstein', 'Nicola Lagioia', 'Lisa Lucas', 'Francesca Marciano', 'Mario Martone', 'Sarah McNally', 'Michael Reynolds', 'Roberto Saviano']",['Giacomo Durzi'],"['Laura Buffoni', 'Giacomo Durzi']",3.0,1.0,1.0,1.6666666666666667,Low-profile,Low-profile,Low-profile,10,1,2
tt30395619,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300.0,"['Natsuki Hanae', 'Kengo Kawanishi', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']",['Haruo Sotozaki'],['Koyoharu Gotouge'],12.0,5.0,5.0,7.333333333333333,Low-profile,Low-profile,Low-profile,5,1,1
tt1633359,The Toxic Avenger,6.0,554.0,"['Julian Kostov', 'Kevin Bacon', 'Peter Dinklage', 'Elijah Wood', 'Jacob Tremblay', 'Jane Levy', 'Taylour Paige', 'Macon Blair', 'Luisa Guerreiro', 'Sarah Niles']",['Macon Blair'],"['Macon Blair', 'Lloyd Kaufman', 'Joe Ritter']",55.0,1.0,14.0,23.333333333333332,Low-profile,Low-profile,Low-profile,10,1,3
tt4207112,Score,7.5,5000.0,"['Marco Beltrami', 'Jon Burlingame', 'Leonard Maltin', 'Bill Field', 'Christopher Young', 'David Newman', 'Amos Newman', 'John Debney', 'Garry Marshall', 'James Cameron']",['Matt Schrader'],['Matt Schrader'],7.0,1.0,1.0,3.0,Low-profile,Low-profile,Low-profile,10,1,1
tt0027255,Aces and Eights,5.4,230.0,"['Tim McCoy', 'Luana Walters', 'Rex Lease', 'Wheeler Oakman', 'J. Frank Glendon', 'Charles Stevens', 'Earle Hodgins', 'Jimmy Aubrey', 'Joseph W. Girard', 'Barney Beasley']",['Sam Newfield'],"['George Arthur Durlam', ""Joseph O'Donnell""]",73.0,127.0,38.0,79.33333333333333,High-profile,High-profile,High-profile,10,1,2
tt0038870,Rakkauden risti,7.0,241.0,"['Regina Linnanheimo', 'Oscar Tengström', 'Ville Salminen', 'Rauli Tuomi', 'Sirkka-Liisa Angerkoski', 'Tuli Arjo', 'Ingmar Englund', 'Lauri Korpela', 'Hilly Lindqvist', 'Senja Soitso']",['Teuvo Tulio'],"['Alexander Pushkin', 'Nisse Hirn']",7.0,5.0,24.0,12.0,Low-profile,Low-profile,High-profile,10,1,2
tt0094663,Another Woman,7.2,16000.0,"['Gena Rowlands', 'Mia Farrow', 'Ian Holm', 'Blythe Danner', 'Gene Hackman', 'Betty Buckley', 'Martha Plimpton', 'John Houseman', 'Sandy Dennis', 'David Ogden Stiers']",['Woody Allen'],['Woody Allen'],75.0,51.0,56.0,60.666666666666664,High-profile,High-profile,High-profile,10,1,1
