year,month,star_count,runtime,averageRating
1996,11,9,1.0,5.8
1955,1,10,1.0,5.5
1999,3,10,1.0,6.9
1956,6,10,1.0,6.7
1959,3,10,2.0,6.3
2001,10,10,2.0,6.5
1984,10,10,1.0,4.6
1943,5,10,1.0,6.2
1985,10,10,1.0,5.8
2013,7,10,1.0,6.0
1981,1,10,2.0,6.4
2006,7,10,1.0,4.8
1999,4,10,1.0,6.7
1928,8,9,1.0,6.1
2019,9,10,1.0,5.4
1942,10,10,1.0,6.5
1974,4,10,1.0,7.7
1974,8,10,1.0,3.1
1983,11,10,1.0,6.1
2009,3,10,1.0,7.5
1965,8,10,1.0,5.9
1999,5,10,1.0,6.3
1954,10,10,1.0,6.1
2011,3,10,1.0,5.5
1938,12,10,1.0,6.4
1935,7,10,1.0,6.6
1942,8,10,1.0,7.3
1968,9,10,1.0,5.3
1990,9,10,1.0,4.7
1951,10,5,1.0,6.3
2018,4,4,1.0,6.9
1983,9,10,1.0,3.9
1935,12,10,1.0,6.3
1949,3,10,1.0,6.8
2010,6,10,2.0,5.4
2007,5,7,1.0,6.1
1922,11,4,55.0,5.6
1977,7,10,1.0,3.5
1936,8,10,1.0,6.2
1930,11,10,1.0,6.2
1954,4,10,1.0,7.7
2018,1,10,1.0,7.0
2007,10,10,1.0,6.0
2023,4,10,1.0,6.1
1977,12,10,1.0,4.3
2020,2,10,1.0,6.7
1939,4,10,1.0,6.9
1970,12,10,1.0,7.2
1960,11,10,1.0,6.2
1952,10,10,1.0,6.1
1952,1,10,1.0,6.4
1949,10,10,1.0,5.7
1968,10,10,1.0,6.1
1959,12,10,1.0,7.4
2025,1,10,1.0,7.3
1937,9,5,1.0,6.3
1943,12,10,56.0,5.3
1927,9,10,50.0,5.5
1933,1,10,1.0,6.6
1963,10,10,1.0,6.0
1987,9,10,1.0,5.0
1967,8,8,1.0,6.5
1989,11,10,1.0,6.0
2021,2,10,1.0,7.6
1921,12,10,1.0,7.1
1959,4,10,1.0,6.7
2006,8,10,1.0,5.5
1929,2,4,1.0,6.4
2003,12,10,1.0,6.0
1959,10,6,2.0,8.4
1932,10,10,58.0,5.5
1996,11,10,1.0,5.2
1953,6,10,1.0,5.3
1993,6,10,1.0,7.7
1994,4,10,1.0,6.8
2019,9,10,2.0,5.8
1965,1,10,1.0,6.5
1954,9,10,1.0,6.9
1981,2,10,1.0,6.6
1954,11,10,1.0,5.5
1992,6,10,1.0,4.9
2002,7,10,1.0,6.6
1939,9,10,1.0,6.8
1978,2,10,2.0,7.1
1981,11,10,58.0,7.5
1953,7,10,1.0,6.8
2005,4,10,1.0,7.5
2015,1,1,2.0,7.2
1985,10,10,2.0,7.4
1952,2,10,1.0,4.5
1965,10,10,1.0,6.4
2007,4,10,1.0,6.4
1937,7,10,1.0,6.5
1923,11,5,50.0,6.6
2016,6,10,1.0,5.7
1988,4,10,1.0,7.4
1959,12,10,2.0,5.8
1986,4,10,1.0,6.9
1939,10,10,1.0,5.8
1960,1,10,1.0,6.3
1973,11,3,1.0,5.7
2024,3,10,1.0,5.2
1973,1,10,1.0,4.8
1943,5,10,56.0,6.4
1964,12,10,1.0,6.2
1924,9,10,55.0,6.1
2017,2,10,1.0,4.5
2015,11,10,2.0,6.9
2018,7,10,1.0,6.6
2004,11,10,1.0,6.8
1921,5,2,50.0,6.3
1967,11,10,1.0,5.2
1937,4,10,1.0,6.4
1960,10,10,1.0,5.0
1942,11,10,1.0,5.9
1984,1,10,1.0,7.5
2014,4,10,1.0,5.9
1936,2,10,59.0,4.7
1956,7,10,1.0,5.9
1989,4,10,2.0,7.1
1941,8,10,1.0,7.0
1937,3,10,1.0,6.6
2021,8,10,1.0,6.1
1947,8,10,59.0,6.0
1963,4,10,1.0,6.8
2010,2,10,1.0,6.9
2015,12,9,1.0,5.7
1966,5,10,1.0,5.0
1963,11,10,1.0,5.2
1936,1,10,1.0,6.7
1996,9,10,1.0,6.7
1969,2,10,1.0,3.3
1964,8,10,1.0,7.1
2014,9,10,1.0,5.3
1972,2,7,1.0,6.6
1931,12,10,1.0,6.6
2023,8,10,1.0,6.8
1978,1,10,1.0,6.0
2006,6,10,1.0,5.5
1969,3,10,1.0,5.4
2010,4,10,1.0,5.2
1930,7,10,1.0,5.7
2007,10,10,1.0,5.9
1933,2,10,1.0,6.9
2003,9,10,2.0,7.0
2016,2,5,1.0,7.1
1974,1,2,1.0,5.2
1964,10,10,1.0,5.3
2003,5,10,1.0,5.4
